Designator,Mid X,Mid Y,Rotation,Layer
C1,33.02,-25.4,0.0,top
C10,146.255,-45.72,0.0,top
C2,53.34,-25.4,0.0,top
C3,81.28,-35.56,90.0,top
C4,93.98,-25.4,0.0,top
C5,114.3,-25.4,0.0,top
C6,132.498432,-25.4,0.0,top
C7,157.48,-25.4,90.0,top
C8,157.48,-30.48,90.0,top
C9,157.48,-45.72,270.0,top
D1,167.64,-55.88,0.0,top
D2,167.64,-60.96,0.0,top
D3,167.64,-50.8,0.0,top
J1,169.047846,-38.083591,90.0,top
J2,58.42,-86.36,90.0,top
JP1,136.43,-68.58,0.0,top
JP2,132.08,-68.58,0.0,top
JP3,127.43,-68.58,0.0,top
R1,40.64,-25.4,180.0,top
R2,152.4,-25.4,270.0,top
R3,158.5575,-35.56,180.0,top
R4,162.56,-30.490488,90.0,top
R5,161.0975,-60.96,0.0,top
R6,162.56,-45.72,270.0,top
R7,161.0975,-55.88,0.0,top
R8,161.0975,-50.8,0.0,top
R9,158.5575,-40.64,180.0,top
RN1,87.02,-26.44,90.0,top
RN2,132.74,-77.7,90.0,top
SW1,71.12,-31.001,270.0,top
SW2,144.78,-25.4,0.0,top
U1,25.395,-31.755,0.0,top
U2,45.715,-31.755,0.0,top
U3,86.36,-31.76,0.0,top
U4,106.675,-31.76,0.0,top
U5,126.98,-31.745,0.0,top
U6,150.9375,-38.1,90.0,top
U7,66.035,-41.91,0.0,top
X1,144.78,-68.58,270.0,top
X2,160.02,-68.58,270.0,top
